AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Always ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Not at all ,Not at all ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
25–34,Female ,Less than 1 hour ,Rarely ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Often ,Sometimes ,Often ,Sometimes ,Often ,Slightly ,Instagram ,Often ,Slightly 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Rarely ,Often ,Rarely ,Sometimes ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Sometimes ,Often ,Moderately ,Moderately ,Often ,Often ,Sometimes ,Often ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
Below 18,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,TikTok ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Often ,Significantly ,YouTube ,Always ,Significantly 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Rarely ,Often ,Rarely ,Sometimes ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,TikTok ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Significantly ,Always ,Always ,Always ,Always ,Always ,Rarely ,Significantly ,Facebook ,Rarely ,Significantly 
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Rarely ,Sometimes ,Slightly ,Slightly ,Often ,Rarely ,Rarely ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Rarely ,Slightly 
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Often ,Always ,Always ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Slightly ,Slightly ,Rarely ,Rarely ,Rarely ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
25–34,Female ,More than 3 hours ,Sometimes ,Significantly ,Always ,Often ,Significantly ,Moderately ,Often ,Always ,Often ,Sometimes ,Always ,Always ,Slightly ,Twitter ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Always ,Moderately 
25–34,Male ,Less than 1 hour ,Rarely ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Often ,Significantly 
Below 18,Female ,More than 3 hours ,Sometimes ,Moderately ,Always ,Often ,Significantly ,Slightly ,Often ,Sometimes ,Often ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Sometimes ,Often ,Often ,Always ,Often ,Often ,Significantly ,YouTube ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Rarely ,Rarely ,Rarely ,Sometimes ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Often ,Moderately ,Instagram ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Often ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Significantly ,Moderately ,Always ,Often ,Always ,Always ,Often ,Always ,Significantly ,Twitter ,Often ,Moderately 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Significantly ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Sometimes ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Moderately 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Sometimes ,Moderately ,Facebook ,Often ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Often ,Significantly 
25–34,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Often ,Moderately ,YouTube ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Moderately ,Significantly ,Sometimes ,Always ,Often ,Often ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Sometimes ,Often ,Slightly ,YouTube ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Not at all ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Not at all ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
25–34,Female ,More than 3 hours ,Always ,Moderately ,Often ,Always ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Always ,Rarely ,Moderately ,Facebook ,Often ,Moderately 
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Always ,Often ,Often ,Always ,Often ,Often ,Moderately ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Sometimes ,Always ,Significantly ,Moderately ,Often ,Always ,Often ,Always ,Often ,Often ,Significantly ,Snapchat ,Always ,Significantly 
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Often ,Always ,Always ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
Below 18,Male ,1–3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Always ,Rarely ,Rarely ,Often ,Sometimes ,Slightly ,TikTok ,Sometimes ,Not at all 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Significantly ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Slightly ,Instagram ,Often ,Moderately 
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Slightly ,Always ,Often ,Always ,Often ,Always ,Often ,Significantly ,TikTok ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Sometimes ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Always ,Sometimes ,Moderately ,YouTube ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Significantly ,Significantly ,Always ,Rarely ,Sometimes ,Rarely ,Rarely ,Rarely ,Significantly ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Significantly ,Significantly ,Always ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Facebook ,Always ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Often ,Always ,Always ,Always ,Significantly ,YouTube ,Always ,Significantly 
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Significantly ,Snapchat ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Significantly ,Always ,Always ,Always ,Often ,Always ,Often ,Moderately ,TikTok ,Often ,Moderately 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Often ,Often ,Always ,Often ,Moderately ,Facebook ,Often ,Significantly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Sometimes ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Moderately 
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always ,Often ,Significantly ,Moderately ,Often ,Always ,Always ,Often ,Often ,Always ,Slightly ,Facebook ,Always ,Significantly 
Below 18,Male ,Less than 1 hour ,Sometimes ,Moderately ,Always ,Often ,Not at all ,Slightly ,Rarely ,Rarely ,Often ,Often ,Sometimes ,Often ,Slightly ,Facebook ,Rarely ,Not at all 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Often ,Often ,Often ,Moderately ,TikTok ,Often ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,LinkedIn ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Always ,Often ,Often ,Often ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Sometimes ,Moderately ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Significantly ,Always ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Always ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Slightly ,Always ,Often ,Always ,Often ,Always ,Often ,Significantly ,TikTok ,Often ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Moderately ,YouTube ,Always ,Significantly 
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always ,Always ,Moderately ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,TikTok ,Rarely ,Moderately 
25–34,Male ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Rarely ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often ,Often ,Moderately ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Sometimes ,Often ,Often ,Always ,Often ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Moderately ,Sometimes ,Often ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Often ,Often ,Significantly ,Snapchat ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,LinkedIn ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Always ,Sometimes ,Moderately ,YouTube ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Rarely ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Moderately ,Rarely ,Sometimes ,Often ,Often ,Sometimes ,Often ,Significantly ,YouTube ,Sometimes ,Significantly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Often ,Often ,Sometimes ,Sometimes ,Often ,Slightly ,TikTok ,Often ,Moderately 
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Often ,Sometimes ,Significantly ,Moderately ,Often ,Always ,Often ,Sometimes ,Sometimes ,Sometimes ,Significantly ,YouTube ,Always ,Significantly 
25–34,Female ,1–3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Slightly ,Always ,Often ,Always ,Always ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Often ,Always ,Sometimes ,Rarely ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Moderately ,YouTube ,Often ,Moderately 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Instagram ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Instagram ,Often ,Moderately 
25–34,Female ,1–3 hours ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,LinkedIn ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Often ,Sometimes ,Rarely ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes ,Sometimes ,Slightly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Rarely ,Rarely ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Rarely ,Moderately 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Q15. How often do you try to limit social media usage during study sessions?,Sometimes ,Slightly ,LinkedIn ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Often ,Often ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Sometimes ,Moderately ,Twitter ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Instagram ,Sometimes ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Always ,Often ,Often ,Often ,Significantly ,Snapchat ,Always ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Female ,More than 3 hours ,Sometimes ,Significantly ,Always ,Often ,Significantly ,Moderately ,Often ,Always ,Often ,Sometimes ,Always ,Always ,Slightly ,Twitter ,Always ,Significantly 
